 Total Nb of available Diagnostics: ndiagt=   301
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |TOTUTEND| 50 |    99 |UUR     MR|m/s/day         |Tendency of Zonal Component of Velocity
    99 |TOTVTEND| 50 |    98 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TOTTTEND| 50 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
   101 |TOTSTEND| 50 |       |SMR     MR|g/kg/day        |Tendency of Salinity
   102 |MoistCor| 50 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   103 |gT_Forc | 50 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   104 |gS_Forc | 50 |       |SMR     MR|g/kg/s          |Salinity forcing tendency
   105 |AB_gT   | 50 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   106 |AB_gS   | 50 |       |SMR     MR|g/kg/s          |Salinity tendency from Adams-Bashforth
   107 |gTinAB  | 50 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   108 |gSinAB  | 50 |       |SMR     MR|g/kg/s          |Salinity tendency going in Adams-Bashforth
   109 |AB_gU   | 50 |   110 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   110 |AB_gV   | 50 |   109 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   111 |ADVr_TH | 50 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   112 |ADVx_TH | 50 |   113 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   113 |ADVy_TH | 50 |   112 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   114 |DFrE_TH | 50 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   115 |DFxE_TH | 50 |   116 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   116 |DFyE_TH | 50 |   115 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   117 |DFrI_TH | 50 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   118 |ADVr_SLT| 50 |       |WM      LR|g/kg.m^3/s      |Vertical   Advective Flux of Salinity
   119 |ADVx_SLT| 50 |   120 |UU      MR|g/kg.m^3/s      |Zonal      Advective Flux of Salinity
   120 |ADVy_SLT| 50 |   119 |VV      MR|g/kg.m^3/s      |Meridional Advective Flux of Salinity
   121 |DFrE_SLT| 50 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Explicit part)
   122 |DFxE_SLT| 50 |   123 |UU      MR|g/kg.m^3/s      |Zonal      Diffusive Flux of Salinity
   123 |DFyE_SLT| 50 |   122 |VV      MR|g/kg.m^3/s      |Meridional Diffusive Flux of Salinity
   124 |DFrI_SLT| 50 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Implicit part)
   125 |SALTFILL| 50 |       |SM      MR|g/kg.m^3/s      |Filling of Negative Values of Salinity
   126 |EXFhs   |  1 |       |SM      U1|W/m^2           |Sensible heat flux into ocean, >0 increases theta
   127 |EXFhl   |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   128 |EXFlwnet|  1 |       |SM      U1|W/m^2           |Net upward longwave radiation, >0 decreases theta
   129 |EXFswnet|  1 |       |SM      U1|W/m^2           |Net upward shortwave radiation, >0 decreases theta
   130 |EXFlwdn |  1 |       |SM      U1|W/m^2           |Downward longwave radiation, >0 increases theta
   131 |EXFswdn |  1 |       |SM      U1|W/m^2           |Downward shortwave radiation, >0 increases theta
   132 |EXFqnet |  1 |       |SM      U1|W/m^2           |Net upward heat flux (turb+rad), >0 decreases theta
   133 |EXFtaux |  1 |       |UM      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
   134 |EXFtauy |  1 |       |VM      U1|N/m^2           |meridional surface wind stress, >0 increases vVel
   135 |EXFuwind|  1 |       |UM      U1|m/s             |zonal 10-m wind speed, >0 eastward
   136 |EXFvwind|  1 |       |VM      U1|m/s             |meridional 10-m wind speed, >0 northward
   137 |EXFurelw|  1 |       |UM      U1|m/s             |zonal relative 10-m wind speed, >0 eastward
   138 |EXFvrelw|  1 |       |VM      U1|m/s             |meridional relative 10-m wind speed, >0 northward
   139 |EXFwspee|  1 |       |SM      U1|m/s             |10-m wind speed modulus ( >= 0 )
   140 |EXFatemp|  1 |       |SM      U1|degK            |surface (2-m) air temperature
   141 |EXFaqh  |  1 |       |SM      U1|kg/kg           |surface (2-m) specific humidity
   142 |EXFevap |  1 |       |SM      U1|m/s             |evaporation, > 0 increases salinity
   143 |EXFpreci|  1 |       |SM      U1|m/s             |precipitation, > 0 decreases salinity
   144 |EXFsnow |  1 |       |SM      U1|m/s             |snow precipitation, > 0 decreases salinity
   145 |EXFempmr|  1 |       |SM      U1|m/s             |net upward freshwater flux, > 0 increases salinity
   146 |EXFpress|  1 |       |SM      U1|N/m^2           |atmospheric pressure field
   147 |EXFroff |  1 |       |SM      U1|m/s             |river runoff, > 0 decreases salinity
   148 |EXFroft |  1 |       |SM      U1|deg C           |river runoff temperature
   149 |EXFsalfx|  1 |       |SM      U1|g/m^2/s         |upward salt flux, > 0 decreases salinity
   150 |GGL90TKE| 50 |       |SM      LR|m^2/s^2         |GGL90 sub-grid turbulent kinetic energy
   151 |GGL90Emn| 50 |       |SM      LR|m^2/s^3         |rate of TKE energy added by applying GGL90TKEmin
   152 |GGL90Lmx| 50 |       |SM      LR|m               |Mixing length scale
   153 |GGL90Prl| 50 |       |SM      LR|1               |Prandtl number used in GGL90
   154 |GGL90ArU| 50 |       |SM      LR|m^2/s           |GGL90 eddy viscosity at U-point
   155 |GGL90ArV| 50 |       |SM      LR|m^2/s           |GGL90 eddy viscosity at V-point
   156 |GGL90Kr | 50 |       |SM      LR|m^2/s           |GGL90 diffusion coefficient for temperature
   157 |GGL90KN2| 50 |       |SM      LR|m^2/s^3         |GGL90 diffusivity times buoyancy frequency
   158 |GGL90flx|  1 |       |SM      L1|m^3/s^3         |Surface flux of TKE
   159 |GGL90tau|  1 |       |SM      L1|m^3/s^3         |Work done by the wind
   160 |GGL90Sr2| 50 |       |SM      LR|1/s^2           |GGL90 shear squared
   161 |GGL90KpM| 50 |       |SM      LR|m^2/s           |GGL90 Kappa M
   162 |GGL90ShP| 50 |       |SM      LR|m^2/s^3         |GGL90 shear production term
   163 |GGL90MiW| 50 |       |SM      LR|m^2/s^3         |GGL90 mixing work term
   164 |GGL90Dis| 50 |       |SM      LR|m^2/s^3         |GGL90 dissipation term
   165 |GGL90a3d| 50 |       |SM      LR|                |GGL90 lower tri-diagonal term
   166 |GGL90b3d| 50 |       |SM      LR|                |GGL90 center tri-diagonal term
   167 |GGL90c3d| 50 |       |SM      LR|                |GGL90 upper tri-diagonal term
   168 |IDEMIX_E| 50 |       |SM      LR|m^2/s^2         |IDEMIX internal wave energy
   169 |IDEMgTKE| 50 |       |SM      LR|m^2/s^3         |IDEMIX tendency: tau_d times IDEMIX_E^2
   170 |IDEMIX_c| 50 |       |SM      LR|m/s             |IDEMIX vertical group velocity
   171 |IDEMIX_v| 50 |       |SM      LR|m/s             |IDEMIX horizontal group velocity
   172 |IDEMIX_t| 50 |       |SM      LR|s/m^2           |IDEMIX dissipation constant
   173 |IDEMIX_K| 50 |       |SM      LR|m^2/s           |IDEMIX vertical diffusivity
   174 |IDEMIX_F| 50 |       |SM      LR|m^2/s^3         |IDEMIX Forcing by gm
   175 |IDEM_F_b|  1 |       |SM      L1|m^3/s^3         |Tidal forcing at bottom
   176 |IDEM_F_s|  1 |       |SM      L1|m^3/s^3         |Wind forcing at surface
   177 |IDEM_F_g|  1 |       |SM      L1|m^3/s^3         |Integrated GM forcing
   178 |GM_hTrsL|  1 |       |SM P    M1|m               |Base depth (>0) of the Transition Layer
   179 |GM_baseS|  1 |       |SM P    M1|1               |Slope at the base of the Transition Layer
   180 |GM_rLamb|  1 |       |SM P    M1|1/m             |Slope vertical gradient at Trans. Layer Base (=recip.Lambda)
   181 |SubMesLf|  1 |       |SM P    M1|m               |Sub-Meso horiz. Length Scale (Lf)
   182 |SubMpsiX|  1 |   183 |UU      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): U component
   183 |SubMpsiY|  1 |   182 |VV      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): V component
   184 |GM_Kux  | 50 |   185 |UU P    MR|m^2/s           |K_11 element (U.point, X.dir) of GM-Redi tensor
   185 |GM_Kvy  | 50 |   184 |VV P    MR|m^2/s           |K_22 element (V.point, Y.dir) of GM-Redi tensor
   186 |GM_Kuz  | 50 |   187 |UU      MR|m^2/s           |K_13 element (U.point, Z.dir) of GM-Redi tensor
   187 |GM_Kvz  | 50 |   186 |VV      MR|m^2/s           |K_23 element (V.point, Z.dir) of GM-Redi tensor
   188 |GM_Kwx  | 50 |   189 |UM      LR|m^2/s           |K_31 element (W.point, X.dir) of GM-Redi tensor
   189 |GM_Kwy  | 50 |   188 |VM      LR|m^2/s           |K_32 element (W.point, Y.dir) of GM-Redi tensor
   190 |GM_Kwz  | 50 |       |WM P    LR|m^2/s           |K_33 element (W.point, Z.dir) of GM-Redi tensor
   191 |GM_PsiX | 50 |   192 |UU      LR|m^2/s           |GM Bolus transport stream-function : U component
   192 |GM_PsiY | 50 |   191 |VV      LR|m^2/s           |GM Bolus transport stream-function : V component
   193 |GM_KuzTz| 50 |   194 |UU      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: X component
   194 |GM_KvzTz| 50 |   193 |VV      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: Y component
   195 |GM_KwzTz| 50 |       |WM      LR|degC.m^3/s      |Redi main-diagonal vertical Temperature flux
   196 |GM_ubT  | 50 |   197 |UUr     MR|degC.m^3/s      |Zonal Mass-Weight Bolus Transp of Pot Temp
   197 |GM_vbT  | 50 |   196 |VVr     MR|degC.m^3/s      |Meridional Mass-Weight Bolus Transp of Pot Temp
   198 |GM_BVPcW|  1 |   199 |SU P    M1|m/s             |WKB wave speed (at Western edge location)
   199 |GM_BVPcS|  1 |   198 |SV P    M1|m/s             |WKB wave speed (at Southern edge location)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |SIarea  |  1 |       |SM      M1|m^2/m^2         |SEAICE fractional ice-covered area [0 to 1]
   201 |SIareaPR|  1 |       |SM      M1|m^2/m^2         |SIarea preceeding ridging process
   202 |SIareaPT|  1 |       |SM      M1|m^2/m^2         |SIarea preceeding thermodynamic growth/melt
   203 |SIheff  |  1 |       |SM      M1|m               |SEAICE effective ice thickness
   204 |SIheffPT|  1 |       |SM      M1|m               |SIheff preceeeding thermodynamic growth/melt
   205 |SIhsnow |  1 |       |SM      M1|m               |SEAICE effective snow thickness
   206 |SIhsnoPT|  1 |       |SM      M1|m               |SIhsnow preceeeding thermodynamic growth/melt
   207 |SIhsalt |  1 |       |SM      M1|g/m^2           |SEAICE effective salinity
   208 |SIenpa  |  1 |       |SM      M1|W/m^2           |SEAICE power input by surface wind stresses
   209 |SIenpw  |  1 |       |SM      M1|W/m^2           |SEAICE work done by ocean drag
   210 |SIenph  |  1 |       |SM      M1|W/m^2           |SEAICE power due to change in inertia
   211 |SIenpg  |  1 |       |SM      M1|W/m^2           |SEAICE work generated by gravity
   212 |SIenpi  |  1 |       |SM      M1|W/m^2           |SEAICE work done by internal stress
   213 |SIenpot |  1 |       |SM      M1|W/m^2           |SEAICE work done to change potential energy
   214 |SIpRfric|  1 |       |SM      M1|W/m^2           |SEAICE dissipation in ridging by internal stresses
   215 |SIpSfric|  1 |       |SM      M1|W/m^2           |SEAICE dissipation in shearing by internal stresses
   216 |SItices |  1 |   200 |SM  C   M1|K               |Surface Temperature over Sea-Ice (area weighted)
   217 |SIuice  |  1 |   218 |UU      M1|m/s             |SEAICE zonal ice velocity, >0 from West to East
   218 |SIvice  |  1 |   217 |VV      M1|m/s             |SEAICE merid. ice velocity, >0 from South to North
   219 |SItaux  |  1 |   220 |UU      U1|N/m^2           |SEAICE zonal surface wind stress, >0 increases uIce
   220 |SItauy  |  1 |   219 |VV      U1|N/m^2           |SEAICE merid surface wind stress, >0 increases vIce
   221 |SIatmTx |  1 |   222 |UU      U1|N/m^2           |Zonal surface wind stress over Ocean+SeaIce
   222 |SIatmTy |  1 |   221 |VV      U1|N/m^2           |Merid surface wind stress over Ocean+SeaIce
   223 |SIqnet  |  1 |       |SM      U1|W/m^2           |Ocean surface heatflux, turb+rad, >0 decreases theta
   224 |SIqsw   |  1 |       |SM      U1|W/m^2           |Ocean surface shortwave radiat., >0 decreases theta
   225 |SIatmQnt|  1 |       |SM      U1|W/m^2           |Net atmospheric heat flux, >0 decreases theta
   226 |SItflux |  1 |       |SM      U1|W/m^2           |Same as TFLUX but incl seaice (>0 incr T decr H)
   227 |SIaaflux|  1 |       |SM      U1|W/m^2           |conservative ocn<->seaice adv. heat flux adjust.
   228 |SIhl    |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   229 |SIqneto |  1 |       |SM      U1|W/m^2           |Open Ocean Part of SIqnet, turb+rad, >0 decr theta
   230 |SIqneti |  1 |       |SM      U1|W/m^2           |Ice Covered Part of SIqnet, turb+rad, >0 decr theta
   231 |SIempmr |  1 |       |SM      U1|kg/m^2/s        |Ocean surface freshwater flux, > 0 increases salt
   232 |SIatmFW |  1 |       |SM      U1|kg/m^2/s        |Net freshwater flux from atmosphere & land (+=down)
   233 |SIsnPrcp|  1 |       |SM      U1|kg/m^2/s        |Snow precip. (+=dw) over Sea-Ice (area weighted)
   234 |SIfwSubl|  1 |       |SM      U1|kg/m^2/s        |Potential sublimation freshwater flux, >0 decr. ice
   235 |SIacSubl|  1 |       |SM      U1|kg/m^2/s        |Actual sublimation freshwater flux, >0 decr. ice
   236 |SIrsSubl|  1 |       |SM      U1|kg/m^2/s        |Residual subl. freshwater flux, >0 taken from ocn
   237 |SIactLHF|  1 |       |SM      U1|W/m^2           |Actual latent heat flux over ice
   238 |SImaxLHF|  1 |       |SM      U1|W/m^2           |Maximum latent heat flux over ice
   239 |SIaQbOCN|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by ocean ice flux
   240 |SIaQbATC|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by atm flux over ice
   241 |SIaQbATO|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by open ocn atm flux
   242 |SIdHbOCN|  1 |       |SM      M1|m/s             |HEFF rate of change by ocean ice flux
   243 |SIdSbATC|  1 |       |SM      M1|m/s             |HSNOW rate of change by atm flux over sea ice
   244 |SIdSbOCN|  1 |       |SM      M1|m/s             |HSNOW rate of change by ocean ice flux
   245 |SIdHbATC|  1 |       |SM      M1|m/s             |HEFF rate of change by atm flux over sea ice
   246 |SIdHbATO|  1 |       |SM      M1|m/s             |HEFF rate of change by open ocn atm flux
   247 |SIdHbFLO|  1 |       |SM      M1|m/s             |HEFF rate of change by flooding snow
   248 |SIdAbATO|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by open ocn atm flux
   249 |SIdAbATC|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by atm flux over ice
   250 |SIdAbOCN|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by ocean ice flux
   251 |SIdA    |  1 |       |SM      M1|m^2/m^2/s       |AREA rate of change (net)
   252 |ADVxHEFF|  1 |   253 |UU      M1|m.m^2/s         |Zonal      Advective Flux of eff ice thickn
   253 |ADVyHEFF|  1 |   252 |VV      M1|m.m^2/s         |Meridional Advective Flux of eff ice thickn
   254 |DFxEHEFF|  1 |   255 |UU      M1|m.m^2/s         |Zonal      Diffusive Flux of eff ice thickn
   255 |DFyEHEFF|  1 |   254 |VV      M1|m.m^2/s         |Meridional Diffusive Flux of eff ice thickn
   256 |ADVxAREA|  1 |   257 |UU      M1|m^2/m^2.m^2/s   |Zonal      Advective Flux of fract area
   257 |ADVyAREA|  1 |   256 |VV      M1|m^2/m^2.m^2/s   |Meridional Advective Flux of fract area
   258 |DFxEAREA|  1 |   259 |UU      M1|m^2/m^2.m^2/s   |Zonal      Diffusive Flux of fract area
   259 |DFyEAREA|  1 |   258 |VV      M1|m^2/m^2.m^2/s   |Meridional Diffusive Flux of fract area
   260 |ADVxSNOW|  1 |   261 |UU      M1|m.m^2/s         |Zonal      Advective Flux of eff snow thickn
   261 |ADVySNOW|  1 |   260 |VV      M1|m.m^2/s         |Meridional Advective Flux of eff snow thickn
   262 |DFxESNOW|  1 |   263 |UU      M1|m.m^2/s         |Zonal      Diffusive Flux of eff snow thickn
   263 |DFyESNOW|  1 |   262 |VV      M1|m.m^2/s         |Meridional Diffusive Flux of eff snow thickn
   264 |ADVxSSLT|  1 |   265 |UU      M1|g/kg.m^2/s      |Zonal      Advective Flux of seaice salinity
   265 |ADVySSLT|  1 |   264 |VV      M1|g/kg.m^2/s      |Meridional Advective Flux of seaice salinity
   266 |DFxESSLT|  1 |   267 |UU      M1|g/kg.m^2/s      |Zonal      Diffusive Flux of seaice salinity
   267 |DFyESSLT|  1 |   266 |VV      M1|g/kg.m^2/s      |Meridional Diffusive Flux of seaice salinity
